
These predictions were generated by MoorDyn (v2.a272022-07-20) on 06-Dec-2022 at 13:08:30.

 
 
 
      Time          CON1FX          CON1FY          CON1FZ          CON2FX          CON2FY          CON2FZ         L1N20PX         L1N20PY         L1N20PZ          L1N9PX         L1N10PY         L1N10PZ          L1N10T          L1N1PX          L1N1PY          L1N1PZ           L1N1T
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)             (N)             (m)             (m)             (m)             (N)
   13.2000   2.3689282E+06   0.0000000E+00  -3.0046636E+06  -2.3630979E+06   0.0000000E+00  -1.0998239E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9086710E+02   0.0000000E+00  -5.4422766E+02   2.5015418E+06   1.5098270E+03   0.0000000E+00  -6.0000377E+02   2.3631161E+06
   13.4000   2.3662370E+06   0.0000000E+00  -3.0021868E+06  -2.3593866E+06   0.0000000E+00  -1.0998223E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9087325E+02   0.0000000E+00  -5.4421543E+02   2.4981721E+06   1.5098273E+03   0.0000000E+00  -6.0000377E+02   2.3594082E+06
   13.6000   2.3641048E+06   0.0000000E+00  -3.0003500E+06  -2.3565795E+06   0.0000000E+00  -1.0998212E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9087853E+02   0.0000000E+00  -5.4420660E+02   2.4956103E+06   1.5098275E+03   0.0000000E+00  -6.0000377E+02   2.3566032E+06
   13.8000   2.3626089E+06   0.0000000E+00  -2.9992273E+06  -2.3547599E+06   0.0000000E+00  -1.0998204E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9088272E+02   0.0000000E+00  -5.4420136E+02   2.4939464E+06   1.5098276E+03   0.0000000E+00  -6.0000377E+02   2.3547849E+06
   14.0000   2.3617928E+06   0.0000000E+00  -2.9988489E+06  -2.3539734E+06   0.0000000E+00  -1.0998201E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9088561E+02   0.0000000E+00  -5.4419970E+02   2.4932260E+06   1.5098277E+03   0.0000000E+00  -6.0000377E+02   2.3539988E+06
   14.2000   2.3616648E+06   0.0000000E+00  -2.9992004E+06  -2.3542286E+06   0.0000000E+00  -1.0998202E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9088703E+02   0.0000000E+00  -5.4420149E+02   2.4934488E+06   1.5098277E+03   0.0000000E+00  -6.0000377E+02   2.3542535E+06
   14.4000   2.3622013E+06   0.0000000E+00  -3.0002287E+06  -2.3554939E+06   0.0000000E+00  -1.0998207E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9088687E+02   0.0000000E+00  -5.4420645E+02   2.4945698E+06   1.5098276E+03   0.0000000E+00  -6.0000377E+02   2.3555172E+06
   14.6000   2.3633496E+06   0.0000000E+00  -3.0018476E+06  -2.3576903E+06   0.0000000E+00  -1.0998216E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9088508E+02   0.0000000E+00  -5.4421417E+02   2.4965060E+06   1.5098275E+03   0.0000000E+00  -6.0000377E+02   2.3577108E+06
   14.8000   2.3650346E+06   0.0000000E+00  -3.0039484E+06  -2.3606920E+06   0.0000000E+00  -1.0998229E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9088171E+02   0.0000000E+00  -5.4422414E+02   2.4991376E+06   1.5098273E+03   0.0000000E+00  -6.0000377E+02   2.3607086E+06
   15.0000   2.3671675E+06   0.0000000E+00  -3.0064119E+06  -2.3643309E+06   0.0000000E+00  -1.0998244E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9087689E+02   0.0000000E+00  -5.4423582E+02   2.5023154E+06   1.5098270E+03   0.0000000E+00  -6.0000377E+02   2.3643427E+06
