
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:32:21.

 
 
 
      Time          ROD1PX          ROD1PY          ROD1PZ          ROD1RX          ROD1RY
       (s)             (m)             (m)             (m)           (deg)           (deg)
   31.8000  -5.0000000E+00   0.0000000E+00  -1.9814430E+01  -0.0000000E+00   9.0000000E+01
   31.9000  -5.0000000E+00   0.0000000E+00  -1.9881359E+01  -0.0000000E+00   9.0000000E+01
   32.0000  -5.0000000E+00   0.0000000E+00  -1.9948315E+01  -0.0000000E+00   9.0000000E+01
   32.1000  -5.0000000E+00   0.0000000E+00  -2.0015297E+01  -0.0000000E+00   9.0000000E+01
   32.2000  -5.0000000E+00   0.0000000E+00  -2.0082305E+01  -0.0000000E+00   9.0000000E+01
   32.3000  -5.0000000E+00   0.0000000E+00  -2.0149339E+01  -0.0000000E+00   9.0000000E+01
   32.4000  -5.0000000E+00   0.0000000E+00  -2.0216398E+01  -0.0000000E+00   9.0000000E+01
   32.5000  -5.0000000E+00   0.0000000E+00  -2.0283482E+01  -0.0000000E+00   9.0000000E+01
   32.6000  -5.0000000E+00   0.0000000E+00  -2.0350591E+01  -0.0000000E+00   9.0000000E+01
   32.7000  -5.0000000E+00   0.0000000E+00  -2.0417725E+01  -0.0000000E+00   9.0000000E+01
   32.8000  -5.0000000E+00   0.0000000E+00  -2.0484883E+01  -0.0000000E+00   9.0000000E+01
   32.9000  -5.0000000E+00   0.0000000E+00  -2.0552064E+01  -0.0000000E+00   9.0000000E+01
   33.0000  -5.0000000E+00   0.0000000E+00  -2.0619270E+01  -0.0000000E+00   9.0000000E+01
   33.1000  -5.0000000E+00   0.0000000E+00  -2.0686498E+01  -0.0000000E+00   9.0000000E+01
   33.2000  -5.0000000E+00   0.0000000E+00  -2.0753749E+01  -0.0000000E+00   9.0000000E+01
   33.3000  -5.0000000E+00   0.0000000E+00  -2.0821023E+01  -0.0000000E+00   9.0000000E+01
   33.4000  -5.0000000E+00   0.0000000E+00  -2.0888320E+01  -0.0000000E+00   9.0000000E+01
   33.5000  -5.0000000E+00   0.0000000E+00  -2.0955638E+01  -0.0000000E+00   9.0000000E+01
   33.6000  -5.0000000E+00   0.0000000E+00  -2.1022978E+01  -0.0000000E+00   9.0000000E+01
   33.7000  -5.0000000E+00   0.0000000E+00  -2.1090340E+01  -0.0000000E+00   9.0000000E+01
   33.8000  -5.0000000E+00   0.0000000E+00  -2.1157723E+01  -0.0000000E+00   9.0000000E+01
   33.9000  -5.0000000E+00   0.0000000E+00  -2.1225127E+01  -0.0000000E+00   9.0000000E+01
   34.0000  -5.0000000E+00   0.0000000E+00  -2.1292552E+01  -0.0000000E+00   9.0000000E+01
   34.1000  -5.0000000E+00   0.0000000E+00  -2.1359997E+01  -0.0000000E+00   9.0000000E+01
   34.2000  -5.0000000E+00   0.0000000E+00  -2.1427462E+01  -0.0000000E+00   9.0000000E+01
