
These predictions were generated by SeaState on 31-May-2023 at 21:35:36.




      Time       Wave1Elev
   (sec)             (m)
   77.2500  -0.7561600E+00
   77.3750  -0.7909884E+00
   77.5000  -0.8089478E+00
   77.6250  -0.8091169E+00
   77.7500  -0.7910691E+00
   77.8750  -0.7548997E+00
   78.0000  -0.7012391E+00
   78.1250  -0.6312490E+00
   78.2500  -0.5466013E+00
   78.3750  -0.4494434E+00
   78.5000  -0.3423451E+00
   78.6250  -0.2282322E+00
   78.7500  -0.1103102E+00
   78.8750   0.8026708E-02
   79.0000   0.1232901E+00
   79.1250   0.2319980E+00
   79.2500   0.3307785E+00
   79.3750   0.4164700E+00
   79.5000   0.4862178E+00
   79.6250   0.5375629E+00
   79.7500   0.5685210E+00
   79.8750   0.5776472E+00
   80.0000   0.5640873E+00
   80.1250   0.5276101E+00
   80.2500   0.4686243E+00
   80.3750   0.3881740E+00
   80.5000   0.2879183E+00
   80.6250   0.1700893E+00
   80.7500   0.3743629E-01
   80.8750  -0.1068482E+00
   81.0000  -0.2592141E+00
   81.1250  -0.4158511E+00
   81.2500  -0.5727942E+00
   81.3750  -0.7260336E+00
   81.5000  -0.8716263E+00
   81.6250  -0.1005806E+01
   81.7500  -0.1125089E+01
   81.8750  -0.1226367E+01
   82.0000  -0.1306998E+01
   82.1250  -0.1364875E+01
   82.2500  -0.1398479E+01
   82.3750  -0.1406924E+01
   82.5000  -0.1389972E+01
   82.6250  -0.1348035E+01
   82.7500  -0.1282158E+01
   82.8750  -0.1193983E+01
   83.0000  -0.1085694E+01
   83.1250  -0.9599511E+00
   83.2500  -0.8198075E+00
   83.3750  -0.6686183E+00
   83.5000  -0.5099411E+00
   83.6250  -0.3474329E+00
   83.7500  -0.1847452E+00
   83.8750  -0.2542247E-01
   84.0000   0.1271970E+00
   84.1250   0.2700679E+00
   84.2500   0.4005177E+00
   84.3750   0.5163119E+00
   84.5000   0.6157034E+00
   84.6250   0.6974673E+00
   84.7500   0.7609188E+00
   84.8750   0.8059129E+00
   85.0000   0.8328282E+00
   85.1250   0.8425345E+00
   85.2500   0.8363459E+00
   85.3750   0.8159617E+00
   85.5000   0.7833967E+00
   85.6250   0.7409030E+00
   85.7500   0.6908872E+00
   85.8750   0.6358258E+00
   86.0000   0.5781799E+00
   86.1250   0.5203147E+00
   86.2500   0.4644232E+00
   86.3750   0.4124604E+00
   86.5000   0.3660865E+00
   86.6250   0.3266225E+00
   86.7500   0.2950196E+00
   86.8750   0.2718419E+00
   87.0000   0.2572640E+00
   87.1250   0.2510824E+00
   87.2500   0.2527404E+00
   87.3750   0.2613641E+00
   87.5000   0.2758107E+00
   87.6250   0.2947230E+00
   87.7500   0.3165930E+00
   87.8750   0.3398271E+00
   88.0000   0.3628141E+00
   88.1250   0.3839915E+00
   88.2500   0.4019091E+00
   88.3750   0.4152867E+00
   88.5000   0.4230632E+00
   88.6250   0.4244384E+00
   88.7500   0.4189012E+00
   88.8750   0.4062491E+00
   89.0000   0.3865936E+00
   89.1250   0.3603534E+00
   89.2500   0.3282371E+00
   89.3750   0.2912135E+00
   89.5000   0.2504731E+00
   89.6250   0.2073795E+00
   89.7500   0.1634178E+00
   89.8750   0.1201342E+00
   90.0000   0.7907736E-01
   90.1250   0.4173745E-01
   90.2500   0.9487406E-02
   90.3750  -0.1646977E-01
   90.5000  -0.3514912E-01
   90.6250  -0.4582242E-01
   90.7500  -0.4804904E-01
   90.8750  -0.4169466E-01
   91.0000  -0.2693977E-01
   91.1250  -0.4276555E-02
   91.2500   0.2550547E-01
   91.3750   0.6134419E-01
   91.5000   0.1019407E+00
   91.6250   0.1458019E+00
   91.7500   0.1912904E+00
   91.8750   0.2366812E+00
   92.0000   0.2802192E+00
   92.1250   0.3201790E+00
   92.2500   0.3549234E+00
   92.3750   0.3829592E+00
   92.5000   0.4029871E+00
   92.6250   0.4139458E+00
   92.7500   0.4150464E+00
   92.8750   0.4057998E+00
   93.0000   0.3860308E+00
   93.1250   0.3558842E+00
   93.2500   0.3158174E+00
   93.3750   0.2665861E+00
   93.5000   0.2092151E+00
   93.6250   0.1449652E+00
   93.7500   0.7528890E-01
   93.8750   0.1782583E-02
   94.0000  -0.7386775E-01
   94.1250  -0.1499410E+00
   94.2500  -0.2247376E+00
   94.3750  -0.2966335E+00
   94.5000  -0.3641314E+00
   94.6250  -0.4259062E+00
   94.7500  -0.4808441E+00
   94.8750  -0.5280738E+00
   95.0000  -0.5669885E+00
   95.1250  -0.5972582E+00
   95.2500  -0.6188319E+00
   95.3750  -0.6319306E+00
   95.5000  -0.6370304E+00
   95.6250  -0.6348362E+00
   95.7500  -0.6262483E+00
   95.8750  -0.6123233E+00
   96.0000  -0.5942287E+00
   96.1250  -0.5731941E+00
   96.2500  -0.5504635E+00
   96.3750  -0.5272447E+00
   96.5000  -0.5046630E+00
   96.6250  -0.4837183E+00
   96.7500  -0.4652465E+00
   96.8750  -0.4498895E+00
   97.0000  -0.4380712E+00
   97.1250  -0.4299828E+00
   97.2500  -0.4255776E+00
   97.3750  -0.4245744E+00
