
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:35:26.

 
 
 
      Time        FAIRTEN1         BODY1PZ         BODY1RY         BODY1RX
       (s)             (N)             (m)           (deg)           (deg)
   38.3340   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3360   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3380   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3400   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3420   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3440   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3460   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3480   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3500   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3520   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3540   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3560   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3580   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3600   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3620   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3640   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3660   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3680   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3700   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3720   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3740   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3760   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3780   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3800   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3820   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3840   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3860   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3880   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3900   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3920   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3940   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3960   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.3980   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4000   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4020   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4040   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4060   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4080   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4100   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4120   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4140   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4160   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4180   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4200   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4220   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4240   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4260   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4280   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4300   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4320   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4340   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4360   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4380   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4400   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4420   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4440   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4460   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4480   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4500   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4520   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4540   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4560   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4580   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4600   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4620   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4640   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4660   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4680   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4700   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4720   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4740   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
   38.4760   1.8416810E+02  -1.0770206E+01  -9.0000000E+01   0.0000000E+00
