





Time	B1WvsFxi	B1WvsFyi	B1WvsFzi	B1WvsMxi	B1WvsMyi	B1WvsMzi
(s)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)
   15.4000  -1.304137E+06  -2.089326E+06   2.129383E+05  -3.595497E+07   2.052696E+07  -2.095321E+07
   15.5000  -1.334065E+06  -2.039187E+06   1.362411E+05  -3.163535E+07   1.950617E+07  -2.092118E+07
   15.6000  -1.353687E+06  -1.974434E+06   5.859286E+04  -2.708021E+07   1.831331E+07  -2.075050E+07
   15.7000  -1.362942E+06  -1.895405E+06  -1.943717E+04  -2.231761E+07   1.695732E+07  -2.044398E+07
   15.8000  -1.361838E+06  -1.802538E+06  -9.727775E+04  -1.737706E+07   1.544840E+07  -2.000532E+07
   15.9000  -1.350457E+06  -1.696365E+06  -1.743595E+05  -1.228936E+07   1.379789E+07  -1.943902E+07
   16.0000  -1.328955E+06  -1.577511E+06  -2.501190E+05  -7.086372E+06   1.201825E+07  -1.875042E+07
   16.1000  -1.297557E+06  -1.446688E+06  -3.240022E+05  -1.800880E+06   1.012291E+07  -1.794558E+07
   16.2000  -1.256556E+06  -1.304694E+06  -3.954687E+05   3.533662E+06   8.126226E+06  -1.703130E+07
   16.3000  -1.206315E+06  -1.152403E+06  -4.639952E+05   8.883320E+06   6.043348E+06  -1.601504E+07
   16.4000  -1.147256E+06  -9.907656E+05  -5.290788E+05   1.421390E+07   3.890124E+06  -1.490484E+07
   16.5000  -1.079865E+06  -8.207988E+05  -5.902411E+05   1.949114E+07   1.682989E+06  -1.370932E+07
   16.6000  -1.004683E+06  -6.435814E+05  -6.470308E+05   2.468098E+07  -5.611516E+05  -1.243758E+07
   16.7000  -9.223066E+05  -4.602468E+05  -6.990271E+05   2.974970E+07  -2.825041E+06  -1.109914E+07
   16.8000  -8.333785E+05  -2.719758E+05  -7.458428E+05   3.466421E+07  -5.091193E+06  -9.703885E+06
   16.9000  -7.385873E+05  -7.998972E+04  -7.871264E+05   3.939219E+07  -7.342012E+06  -8.261988E+06
   17.0000  -6.386604E+05   1.144582E+05  -8.225651E+05   4.390237E+07  -9.559921E+06  -6.783850E+06
   17.1000  -5.343601E+05   3.100900E+05  -8.518869E+05   4.816468E+07  -1.172749E+07  -5.280022E+06
   17.2000  -4.264772E+05   5.056117E+05  -8.748620E+05   5.215044E+07  -1.382754E+07  -3.761139E+06
   17.3000  -3.158264E+05   6.997214E+05  -8.913055E+05   5.583261E+07  -1.584330E+07  -2.237845E+06
   17.4000  -2.032401E+05   8.911177E+05  -9.010775E+05   5.918587E+07  -1.775850E+07  -7.207255E+05
   17.5000  -8.956283E+04   1.078508E+06  -9.040854E+05   6.218691E+07  -1.955749E+07   7.797662E+05
   17.6000   2.435475E+04   1.260618E+06  -9.002837E+05   6.481446E+07  -2.122537E+07   2.253375E+06
   17.7000   1.376616E+05   1.436198E+06  -8.896751E+05   6.704953E+07  -2.274810E+07   3.690113E+06
   17.8000   2.495122E+05   1.604034E+06  -8.723105E+05   6.887551E+07  -2.411259E+07   5.080326E+06
   17.9000   3.590728E+05   1.762953E+06  -8.482883E+05   7.027828E+07  -2.530679E+07   6.414756E+06
   18.0000   4.655267E+05   1.911831E+06  -8.177550E+05   7.124632E+07  -2.631983E+07   7.684602E+06
   18.1000   5.680805E+05   2.049606E+06  -7.809032E+05   7.177082E+07  -2.714205E+07   8.881579E+06
   18.2000   6.659692E+05   2.175278E+06  -7.379715E+05   7.184571E+07  -2.776511E+07   9.997971E+06
   18.3000   7.584620E+05   2.287919E+06  -6.892421E+05   7.146777E+07  -2.818205E+07   1.102668E+07
   18.4000   8.448675E+05   2.386682E+06  -6.350401E+05   7.063660E+07  -2.838737E+07   1.196127E+07
   18.5000   9.245381E+05   2.470802E+06  -5.757306E+05   6.935471E+07  -2.837704E+07   1.279603E+07
   18.6000   9.968755E+05   2.539609E+06  -5.117168E+05   6.762749E+07  -2.814858E+07   1.352597E+07
   18.7000   1.061334E+06   2.592524E+06  -4.434375E+05   6.546319E+07  -2.770106E+07   1.414689E+07
   18.8000   1.117426E+06   2.629070E+06  -3.713637E+05   6.287290E+07  -2.703517E+07   1.465538E+07
   18.9000   1.164724E+06   2.648876E+06  -2.959963E+05   5.987049E+07  -2.615317E+07   1.504887E+07
   19.0000   1.202864E+06   2.651676E+06  -2.178623E+05   5.647256E+07  -2.505893E+07   1.532562E+07
   19.1000   1.231550E+06   2.637315E+06  -1.375111E+05   5.269831E+07  -2.375789E+07   1.548472E+07
   19.2000   1.250555E+06   2.605749E+06  -5.551139E+04   4.856950E+07  -2.225708E+07   1.552615E+07
   19.3000   1.259722E+06   2.557049E+06   2.755320E+04   4.411027E+07  -2.056504E+07   1.545071E+07
   19.4000   1.258967E+06   2.491399E+06   1.110879E+05   3.934701E+07  -1.869178E+07   1.526004E+07
   19.5000   1.248280E+06   2.409094E+06   1.944910E+05   3.430825E+07  -1.664875E+07   1.495661E+07
