## This file was generated by InflowWind_Driver on 19-May-2021 at 13:54:50.
## This file contains the wind velocity at the 1000 points specified in the file ./Points.inp.
# 
#        T                X                Y                Z                U                V                W
#       (s)              (m)              (m)              (m)             (m/s)            (m/s)            (m/s)
    30.0000000       -3.5000000        3.5000000      152.5000000       13.6920577       -0.7362902        0.0571003
    30.0000000       -3.5000000        4.5000000      152.5000000       13.4720023       -0.8608864        0.2695086
    30.0000000       -3.5000000       -4.5000000      153.5000000       15.4682013        0.2228501        0.7365375
    30.0000000       -3.5000000       -3.5000000      153.5000000       15.2738445        0.1924906        0.4154789
    30.0000000       -3.5000000       -2.5000000      153.5000000       15.0794876        0.1621310        0.0944204
    30.0000000       -3.5000000       -1.5000000      153.5000000       14.8851308        0.1317714       -0.2266382
    30.0000000       -3.5000000       -0.5000000      153.5000000       14.6907740        0.1014119       -0.5476968
    30.0000000       -3.5000000        0.5000000      153.5000000       14.4809515       -0.0246209       -0.6076771
    30.0000000       -3.5000000        1.5000000      153.5000000       14.2556633       -0.2463269       -0.4065790
    30.0000000       -3.5000000        2.5000000      153.5000000       14.0303752       -0.4680329       -0.2054810
    30.0000000       -3.5000000        3.5000000      153.5000000       13.8050870       -0.6897389       -0.0043830
    30.0000000       -3.5000000        4.5000000      153.5000000       13.5797988       -0.9114449        0.1967150
    30.0000000       -3.5000000       -4.5000000      154.5000000       15.7001087        0.2689865        0.5131188
    30.0000000       -3.5000000       -3.5000000      154.5000000       15.5387398        0.3392757        0.2406488
    30.0000000       -3.5000000       -2.5000000      154.5000000       15.3773709        0.4095649       -0.0318213
    30.0000000       -3.5000000       -1.5000000      154.5000000       15.2160020        0.4798541       -0.3042914
    30.0000000       -3.5000000       -0.5000000      154.5000000       15.0546331        0.5501433       -0.5767615
    30.0000000       -3.5000000        0.5000000      154.5000000       14.8546444        0.4204643       -0.6326881
    30.0000000       -3.5000000        1.5000000      154.5000000       14.6160358        0.0908170       -0.4720712
    30.0000000       -3.5000000        2.5000000      154.5000000       14.3774273       -0.2388302       -0.3114544
    30.0000000       -3.5000000        3.5000000      154.5000000       14.1388188       -0.5684774       -0.1508375
    30.0000000       -3.5000000        4.5000000      154.5000000       13.9002102       -0.8981246        0.0097793
    30.0000000       -2.5000000       -4.5000000      145.5000000       15.8627552        0.2844777        0.1178407
    30.0000000       -2.5000000       -3.5000000      145.5000000       15.8722595        0.0742754        0.0734104
    30.0000000       -2.5000000       -2.5000000      145.5000000       15.8817638       -0.1359270        0.0289801
    30.0000000       -2.5000000       -1.5000000      145.5000000       15.8912681       -0.3461293       -0.0154501
    30.0000000       -2.5000000       -0.5000000      145.5000000       15.9007724       -0.5563317       -0.0598804
    30.0000000       -2.5000000        0.5000000      145.5000000       15.7221081       -0.6221716       -0.1969351
    30.0000000       -2.5000000        1.5000000      145.5000000       15.3552753       -0.5436490       -0.4266142
    30.0000000       -2.5000000        2.5000000      145.5000000       14.9884425       -0.4651264       -0.6562934
    30.0000000       -2.5000000        3.5000000      145.5000000       14.6216096       -0.3866039       -0.8859725
    30.0000000       -2.5000000        4.5000000      145.5000000       14.2547768       -0.3080813       -1.1156516
    30.0000000       -2.5000000       -4.5000000      146.5000000       15.6851781        0.5711975        0.5989449
    30.0000000       -2.5000000       -3.5000000      146.5000000       15.7046968        0.3246556        0.4226837
    30.0000000       -2.5000000       -2.5000000      146.5000000       15.7242155        0.0781138        0.2464226
    30.0000000       -2.5000000       -1.5000000      146.5000000       15.7437342       -0.1684281        0.0701615
    30.0000000       -2.5000000       -0.5000000      146.5000000       15.7632530       -0.4149700       -0.1060996
    30.0000000       -2.5000000        0.5000000      146.5000000       15.6365529       -0.4817942       -0.2619407
    30.0000000       -2.5000000        1.5000000      146.5000000       15.3636340       -0.3689007       -0.3973618
    30.0000000       -2.5000000        2.5000000      146.5000000       15.0907152       -0.2560072       -0.5327829
    30.0000000       -2.5000000        3.5000000      146.5000000       14.8177963       -0.1431138       -0.6682040
    30.0000000       -2.5000000        4.5000000      146.5000000       14.5448775       -0.0302203       -0.8036251
    30.0000000       -2.5000000       -4.5000000      147.5000000       15.5076010        0.8579173        1.0800491
    30.0000000       -2.5000000       -3.5000000      147.5000000       15.5371341        0.5750359        0.7719571
    30.0000000       -2.5000000       -2.5000000      147.5000000       15.5666673        0.2921545        0.4638651
    30.0000000       -2.5000000       -1.5000000      147.5000000       15.5962004        0.0092732        0.1557732
    30.0000000       -2.5000000       -0.5000000      147.5000000       15.6257335       -0.2736082       -0.1523188
    30.0000000       -2.5000000        0.5000000      147.5000000       15.5509977       -0.3414167       -0.3269463
    30.0000000       -2.5000000        1.5000000      147.5000000       15.3719928       -0.1941524       -0.3681094
    30.0000000       -2.5000000        2.5000000      147.5000000       15.1929879       -0.0468881       -0.4092725
    30.0000000       -2.5000000        3.5000000      147.5000000       15.0139831        0.1003763       -0.4504356
    30.0000000       -2.5000000        4.5000000      147.5000000       14.8349782        0.2476406       -0.4915987
    30.0000000       -2.5000000       -4.5000000      148.5000000       15.3786306        0.9008256        1.2502798
    30.0000000       -2.5000000       -3.5000000      148.5000000       15.4057716        0.6453592        0.8957712
    30.0000000       -2.5000000       -2.5000000      148.5000000       15.4329126        0.3898927        0.5412627
    30.0000000       -2.5000000       -1.5000000      148.5000000       15.4600537        0.1344263        0.1867542
    30.0000000       -2.5000000       -0.5000000      148.5000000       15.4871947       -0.1210401       -0.1677544
    30.0000000       -2.5000000        0.5000000      148.5000000       15.4257424       -0.1958911       -0.3444452
    30.0000000       -2.5000000        1.5000000      148.5000000       15.2756968       -0.0901265       -0.3433183
    30.0000000       -2.5000000        2.5000000      148.5000000       15.1256512        0.0156381       -0.3421914
    30.0000000       -2.5000000        3.5000000      148.5000000       14.9756056        0.1214026       -0.3410646
    30.0000000       -2.5000000        4.5000000      148.5000000       14.8255601        0.2271672       -0.3399377
    30.0000000       -2.5000000       -4.5000000      149.5000000       15.2982677        0.6999184        1.1096317
    30.0000000       -2.5000000       -3.5000000      149.5000000       15.3106099        0.5356224        0.7941223
    30.0000000       -2.5000000       -2.5000000      149.5000000       15.3229521        0.3713264        0.4786130
    30.0000000       -2.5000000       -1.5000000      149.5000000       15.3352942        0.2070304        0.1631036
    30.0000000       -2.5000000       -0.5000000      149.5000000       15.3476364        0.0427344       -0.1524057
    30.0000000       -2.5000000        0.5000000      149.5000000       15.2607864       -0.0452172       -0.3144365
    30.0000000       -2.5000000        1.5000000      149.5000000       15.0747443       -0.0568243       -0.3229886
    30.0000000       -2.5000000        2.5000000      149.5000000       14.8887022       -0.0684314       -0.3315407
    30.0000000       -2.5000000        3.5000000      149.5000000       14.7026601       -0.0800386       -0.3400928
    30.0000000       -2.5000000        4.5000000      149.5000000       14.5166180       -0.0916457       -0.3486450
    30.0000000       -2.5000000       -4.5000000      150.5000000       15.2179049        0.4990112        0.9689836
