
These predictions were generated by SubDyn on 25-Apr-2025 at 11:51:38.




    Time	  M1N1TDxss	  M1N2TDxss
       s	        (m)	        (m)
    4.4300	 8.8213E-08	 7.4594E-02
    4.4400	 8.8194E-08	 7.4602E-02
    4.4500	 8.8175E-08	 7.4609E-02
    4.4600	 8.8155E-08	 7.4615E-02
    4.4700	 8.8134E-08	 7.4621E-02
    4.4800	 8.8112E-08	 7.4627E-02
    4.4900	 8.8090E-08	 7.4631E-02
    4.5000	 8.8067E-08	 7.4635E-02
    4.5100	 8.8043E-08	 7.4639E-02
    4.5200	 8.8019E-08	 7.4643E-02
    4.5300	 8.7994E-08	 7.4645E-02
    4.5400	 8.7968E-08	 7.4648E-02
    4.5500	 8.7942E-08	 7.4650E-02
    4.5600	 8.7916E-08	 7.4652E-02
    4.5700	 8.7889E-08	 7.4653E-02
    4.5800	 8.7862E-08	 7.4654E-02
    4.5900	 8.7835E-08	 7.4655E-02
    4.6000	 8.7807E-08	 7.4656E-02
    4.6100	 8.7779E-08	 7.4657E-02
    4.6200	 8.7751E-08	 7.4657E-02
    4.6300	 8.7722E-08	 7.4657E-02
    4.6400	 8.7693E-08	 7.4657E-02
    4.6500	 8.7665E-08	 7.4658E-02
    4.6600	 8.7636E-08	 7.4658E-02
    4.6700	 8.7607E-08	 7.4658E-02
    4.6800	 8.7578E-08	 7.4658E-02
    4.6900	 8.7550E-08	 7.4658E-02
    4.7000	 8.7521E-08	 7.4658E-02
    4.7100	 8.7493E-08	 7.4658E-02
    4.7200	 8.7464E-08	 7.4658E-02
    4.7300	 8.7436E-08	 7.4659E-02
    4.7400	 8.7408E-08	 7.4660E-02
    4.7500	 8.7381E-08	 7.4660E-02
    4.7600	 8.7354E-08	 7.4662E-02
    4.7700	 8.7327E-08	 7.4663E-02
    4.7800	 8.7300E-08	 7.4665E-02
    4.7900	 8.7274E-08	 7.4667E-02
    4.8000	 8.7249E-08	 7.4669E-02
    4.8100	 8.7224E-08	 7.4672E-02
    4.8200	 8.7199E-08	 7.4675E-02
    4.8300	 8.7175E-08	 7.4679E-02
    4.8400	 8.7152E-08	 7.4683E-02
    4.8500	 8.7130E-08	 7.4688E-02
    4.8600	 8.7108E-08	 7.4693E-02
    4.8700	 8.7087E-08	 7.4698E-02
    4.8800	 8.7066E-08	 7.4705E-02
    4.8900	 8.7047E-08	 7.4712E-02
    4.9000	 8.7028E-08	 7.4719E-02
    4.9100	 8.7011E-08	 7.4727E-02
    4.9200	 8.6994E-08	 7.4736E-02
    4.9300	 8.6978E-08	 7.4746E-02
    4.9400	 8.6964E-08	 7.4756E-02
    4.9500	 8.6950E-08	 7.4768E-02
    4.9600	 8.6937E-08	 7.4779E-02
    4.9700	 8.6926E-08	 7.4792E-02
    4.9800	 8.6915E-08	 7.4806E-02
    4.9900	 8.6906E-08	 7.4820E-02
    5.0000	 8.6898E-08	 7.4836E-02
    5.0100	 8.6892E-08	 7.4852E-02
    5.0200	 8.6887E-08	 7.4870E-02
    5.0300	 8.6883E-08	 7.4888E-02
    5.0400	 8.6880E-08	 7.4907E-02
    5.0500	 8.6879E-08	 7.4928E-02
    5.0600	 8.6879E-08	 7.4949E-02
    5.0700	 8.6881E-08	 7.4972E-02
    5.0800	 8.6884E-08	 7.4995E-02
    5.0900	 8.6889E-08	 7.5020E-02
    5.1000	 8.6895E-08	 7.5046E-02
    5.1100	 8.6903E-08	 7.5073E-02
    5.1200	 8.6913E-08	 7.5102E-02
    5.1300	 8.6924E-08	 7.5131E-02
    5.1400	 8.6937E-08	 7.5162E-02
    5.1500	 8.6952E-08	 7.5194E-02
    5.1600	 8.6968E-08	 7.5228E-02
    5.1700	 8.6986E-08	 7.5262E-02
    5.1800	 8.7006E-08	 7.5299E-02
    5.1900	 8.7028E-08	 7.5336E-02
    5.2000	 8.7052E-08	 7.5375E-02
    5.2100	 8.7078E-08	 7.5415E-02
    5.2200	 8.7106E-08	 7.5457E-02
    5.2300	 8.7136E-08	 7.5500E-02
    5.2400	 8.7167E-08	 7.5545E-02
    5.2500	 8.7201E-08	 7.5591E-02
    5.2600	 8.7237E-08	 7.5639E-02
    5.2700	 8.7275E-08	 7.5688E-02
    5.2800	 8.7315E-08	 7.5739E-02
    5.2900	 8.7357E-08	 7.5792E-02
    5.3000	 8.7401E-08	 7.5846E-02
    5.3100	 8.7448E-08	 7.5901E-02
    5.3200	 8.7497E-08	 7.5959E-02
