
Predictions were generated on 31-May-2023 at 22:53:42 using HydroDyn Driver, compiled on May 31 2023 at 21:49:36 as a 64-bit application using double precision at commit v3.5.0-439-g0b6ef93e-dirty
 linked with  NWTC Subroutine Library

Description from the driver input file: NREL 5.0 MW offshore fixed-bottom HydroDyn input properties for the OC3 Tripod

Time	HydroFxi	HydroFzi	HydroMyi	M1N1Vxi	M1N1Vzi	M1N1Axi	M1N1Azi	M1N1FDxi	M1N1FDzi	M1N1FIxi	M1N1FIzi
(s)	(N)	(N)	(N-m)	(m/s)	(m/s)	(m/s^2)	(m/s^2)	(N/m)	(N/m)	(N/m)	(N/m)
    2.0250	  -2.675458E+06	   8.839802E+06	   5.208122E+07	  -2.799558E-01	  -9.680370E-01	  -7.728175E-01	   1.384408E-01	   8.400023E+01	  -5.300491E+01	  -6.067645E+03	   3.828739E+03
    2.0500	  -2.693730E+06	   8.838276E+06	   5.241060E+07	  -2.989632E-01	  -9.636270E-01	  -7.692968E-01	   1.478402E-01	   7.330093E+01	  -4.625356E+01	  -6.084648E+03	   3.839468E+03
    2.0750	  -2.711788E+06	   8.836730E+06	   5.273705E+07	  -3.179707E-01	  -9.592169E-01	  -7.657762E-01	   1.572396E-01	   6.333022E+01	  -3.996194E+01	  -6.101651E+03	   3.850197E+03
    2.1000	  -2.729637E+06	   8.835161E+06	   5.306064E+07	  -3.369782E-01	  -9.548069E-01	  -7.622554E-01	   1.666389E-01	   5.408809E+01	  -3.413008E+01	  -6.118654E+03	   3.860926E+03
    2.1250	  -2.747282E+06	   8.833569E+06	   5.338142E+07	  -3.559857E-01	  -9.503969E-01	  -7.587348E-01	   1.760383E-01	   4.557455E+01	  -2.875796E+01	  -6.135657E+03	   3.871656E+03
    2.1500	  -2.764729E+06	   8.831951E+06	   5.369948E+07	  -3.749931E-01	  -9.459869E-01	  -7.552142E-01	   1.854377E-01	   3.778962E+01	  -2.384559E+01	  -6.152660E+03	   3.882385E+03
    2.1750	  -2.781984E+06	   8.830306E+06	   5.401488E+07	  -3.940006E-01	  -9.415768E-01	  -7.516934E-01	   1.948371E-01	   3.073326E+01	  -1.939296E+01	  -6.169663E+03	   3.893113E+03
    2.2000	  -2.799054E+06	   8.828631E+06	   5.432769E+07	  -4.130080E-01	  -9.371668E-01	  -7.481728E-01	   2.042364E-01	   2.440549E+01	  -1.540009E+01	  -6.186666E+03	   3.903843E+03
    2.2250	  -2.815942E+06	   8.826925E+06	   5.463798E+07	  -4.320155E-01	  -9.327568E-01	  -7.446520E-01	   2.136358E-01	   1.880630E+01	  -1.186695E+01	  -6.203668E+03	   3.914571E+03
    2.2500	  -2.832658E+06	   8.825188E+06	   5.494585E+07	  -4.510230E-01	  -9.283468E-01	  -7.411314E-01	   2.230352E-01	   1.393571E+01	  -8.793562E+00	  -6.220672E+03	   3.925301E+03
    2.2750	  -2.842334E+06	   8.823615E+06	   5.511799E+07	  -4.689199E-01	  -9.216508E-01	  -7.357857E-01	   2.318854E-01	   9.736250E+00	  -6.143662E+00	  -6.222357E+03	   3.926364E+03
    2.3000	  -2.851824E+06	   8.822007E+06	   5.528738E+07	  -4.868168E-01	  -9.149550E-01	  -7.304401E-01	   2.407356E-01	   6.287748E+00	  -3.967626E+00	  -6.224042E+03	   3.927427E+03
    2.3250	  -2.861133E+06	   8.820361E+06	   5.545410E+07	  -5.047137E-01	  -9.082590E-01	  -7.250946E-01	   2.495858E-01	   3.590177E+00	  -2.265434E+00	  -6.225729E+03	   3.928491E+03
    2.3500	  -2.870270E+06	   8.818675E+06	   5.561825E+07	  -5.226106E-01	  -9.015631E-01	  -7.197490E-01	   2.584360E-01	   1.643570E+00	  -1.037107E+00	  -6.227415E+03	   3.929555E+03
    2.3750	  -2.879240E+06	   8.816950E+06	   5.577990E+07	  -5.405075E-01	  -8.948672E-01	  -7.144034E-01	   2.672862E-01	   4.479069E-01	  -2.826333E-01	  -6.229100E+03	   3.930618E+03
    2.4000	  -2.888050E+06	   8.815183E+06	   5.593915E+07	  -5.584044E-01	  -8.881712E-01	  -7.090579E-01	   2.761363E-01	   3.191843E-03	  -2.014082E-03	  -6.230786E+03	   3.931683E+03
    2.4250	  -2.896707E+06	   8.813373E+06	   5.609610E+07	  -5.763013E-01	  -8.814753E-01	  -7.037123E-01	   2.849865E-01	  -3.094255E-01	   1.952503E-01	  -6.232471E+03	   3.932746E+03
    2.4500	  -2.905218E+06	   8.811521E+06	   5.625084E+07	  -5.941982E-01	  -8.747793E-01	  -6.983666E-01	   2.938367E-01	  -1.366613E+00	   8.623453E-01	  -6.234157E+03	   3.933810E+03
