## This file was generated by InflowWind_Driver on 26-Jun-2023 at 16:38:16.
## This file contains the wind velocity and acceleration at the 300 points specified in the file /Users/aplatt/software-development/GitHub/openfast-5/build/reg_tests/modules/inflowwind/ifw_BoxExceed/Points.inp.
# 
# 
# 
# 
               T                  X                  Y                  Z                  U                  V                  W                 UA                 VA                 WA
             (s)                (m)                (m)                (m)              (m/s)              (m/s)              (m/s)            (m/s/s)            (m/s/s)            (m/s/s)
      0.50000000         0.00000000       -17.50000000       110.75000000        13.17777784         0.85191658         0.29285865        -2.92458423        -1.05325596        -3.77281601
      0.50000000         0.00000000       -15.00000000        30.75000000         6.75729289         0.19501703        -0.05415166         1.47742558        -2.18198970         0.20491332
      0.50000000         0.00000000       -15.00000000        45.75000000        10.05353333         0.29014729        -0.08056710         2.19812099        -3.24637493         0.30487103
      0.50000000         0.00000000       -10.00000000       237.00000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000        -7.50000000       235.75000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000        -7.50000000       113.25000000        13.19728463        -0.57666417         0.15361171        -0.90015927         2.52415195         3.81203053
      0.50000000         0.00000000        -6.25000000        27.00000000         6.04931090        -0.60365813         0.34063125        -0.57825626         0.54189794        -1.29255445
      0.50000000         0.00000000        -6.25000000        33.25000000         7.44961435        -0.74339381         0.41948108        -0.71211188         0.66733728        -1.59175687
      0.50000000         0.00000000        -6.25000000        85.75000000        13.06717208         0.73843632         0.20824205         2.25812845         0.40448009         2.67537679
      0.50000000         0.00000000        -5.00000000       224.50000000        13.82152676        -0.42456430         0.07021762        -0.06794942        -1.17334153        -0.07634057
      0.50000000         0.00000000        -5.00000000       117.00000000        13.61131138        -0.96008630        -0.83290953        -4.37448102         1.81834072         0.26426040
      0.50000000         0.00000000        -3.75000000        44.50000000         9.70897260        -1.33500261         0.40949131        -1.77879782         0.99133940        -2.25036030
      0.50000000         0.00000000        -2.50000000       273.25000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000        -2.50000000       260.75000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000         1.25000000       223.25000000        13.47357138        -0.06238053        -0.06665927         0.11736550        -1.08270594         0.16937421
      0.50000000         0.00000000         2.50000000        20.75000000         4.28186349        -0.00478475        -0.09277741         0.93858779        -0.07151708         0.84132603
      0.50000000         0.00000000         3.75000000       242.00000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000         3.75000000       219.50000000        13.43602929        -0.30577197         0.13377346         0.16094458        -1.21733041        -0.55644221
      0.50000000         0.00000000         3.75000000        48.25000000         9.59601338        -0.01363792         0.36491468         2.41867142        -1.62872256         1.47712489
      0.50000000         0.00000000         5.00000000         2.00000000         0.40174638         0.02779811         0.02817655         0.09796088        -0.12218484         0.10948538
      0.50000000         0.00000000         6.25000000       119.50000000        13.39026834         0.79601268        -0.42009165        -1.62090872         0.80458514        -0.12696071
      0.50000000         0.00000000         7.50000000       172.00000000        13.24696364         0.62768309         0.16046243         0.69378673        -2.46392011         1.06913214
      0.50000000         0.00000000         8.75000000        94.50000000        11.89592278        -1.08403165        -0.36413248        -2.14862641         1.01828386         3.89732237
      0.50000000         0.00000000         8.75000000       153.25000000        12.14933979        -0.76656941        -0.21234586         0.63199936        -0.73340015         1.95114111
      0.50000000         0.00000000         8.75000000       194.50000000        13.54678225         0.49645226        -0.11560753         0.45616605        -1.79449816         1.47170581
      0.50000000         0.00000000        10.00000000       277.00000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000        13.75000000       199.50000000        14.18963423        -0.78651756        -0.50700608         0.90831548         0.03526753         0.68307878
      0.50000000         0.00000000        13.75000000       240.75000000        13.77246425        -0.13433542        -0.07581368        -0.13731363        -0.85796796        -0.03745481
      0.50000000         0.00000000        15.00000000       148.25000000        12.16027265         0.90755072        -0.37427509         1.79743629         2.58535019        -3.37980421
      0.50000000         0.00000000        15.00000000       173.25000000        14.62741894        -0.86198379        -0.62328320         0.47014023        -1.33101870         0.84897987
      0.50000000         0.00000000        17.50000000        52.00000000        11.44948439        -0.64540249        -0.80405781         0.06738724         1.10467529         1.89515647
