
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 07-Aug-2025 at 15:31:45.

 
 
 
      Time        FAIRTEN1       LINE1NBFX         ROD1SUB
       (s)             (N)             (N)          (frac)
    0.2710   5.0345514E+07   1.3906614E+07   5.9219340E-01
    0.2720   5.0328584E+07   1.3896824E+07   5.9225923E-01
    0.2730   5.0311619E+07   1.3887039E+07   5.9232506E-01
    0.2740   5.0294619E+07   1.3877259E+07   5.9239088E-01
    0.2750   5.0277586E+07   1.3867484E+07   5.9245670E-01
    0.2760   5.0260519E+07   1.3857714E+07   5.9252253E-01
    0.2770   5.0243418E+07   1.3847949E+07   5.9258835E-01
    0.2780   5.0226283E+07   1.3838189E+07   5.9265418E-01
    0.2790   5.0209116E+07   1.3828433E+07   5.9272000E-01
    0.2800   5.0191916E+07   1.3818683E+07   5.9278582E-01
    0.2810   5.0174684E+07   1.3808937E+07   5.9285165E-01
    0.2820   5.0157420E+07   1.3799196E+07   5.9291748E-01
    0.2830   5.0140124E+07   1.3789460E+07   5.9298330E-01
    0.2840   5.0122798E+07   1.3779728E+07   5.9304912E-01
    0.2850   5.0105441E+07   1.3770001E+07   5.9311494E-01
    0.2860   5.0088055E+07   1.3760279E+07   5.9318077E-01
    0.2870   5.0070639E+07   1.3750561E+07   5.9324660E-01
    0.2880   5.0053194E+07   1.3740849E+07   5.9331242E-01
    0.2890   5.0035721E+07   1.3731141E+07   5.9337824E-01
    0.2900   5.0018220E+07   1.3721438E+07   5.9344407E-01
    0.2910   5.0000693E+07   1.3711740E+07   5.9350989E-01
    0.2920   4.9983139E+07   1.3702047E+07   5.9357571E-01
    0.2930   4.9965559E+07   1.3692359E+07   5.9364154E-01
    0.2940   4.9947955E+07   1.3682676E+07   5.9370736E-01
    0.2950   4.9930327E+07   1.3672999E+07   5.9377319E-01
    0.2960   4.9912674E+07   1.3663327E+07   5.9383901E-01
    0.2970   4.9895000E+07   1.3653660E+07   5.9390483E-01
    0.2980   4.9877303E+07   1.3644000E+07   5.9397066E-01
    0.2990   4.9859585E+07   1.3634345E+07   5.9403649E-01
    0.3000   4.9841846E+07   1.3624695E+07   5.9410231E-01
    0.3010   4.9824088E+07   1.3615045E+07   5.9415782E-01
    0.3020   4.9806312E+07   1.3605401E+07   5.9421334E-01
    0.3030   4.9788518E+07   1.3595764E+07   5.9426885E-01
    0.3040   4.9770706E+07   1.3586133E+07   5.9432436E-01
    0.3050   4.9752878E+07   1.3576508E+07   5.9437988E-01
    0.3060   4.9735033E+07   1.3566891E+07   5.9443539E-01
    0.3070   4.9717174E+07   1.3557280E+07   5.9449091E-01
    0.3080   4.9699301E+07   1.3547676E+07   5.9454642E-01
    0.3090   4.9681414E+07   1.3538080E+07   5.9460193E-01
    0.3100   4.9663515E+07   1.3528491E+07   5.9465745E-01
    0.3110   4.9645604E+07   1.3518910E+07   5.9471296E-01
    0.3120   4.9627682E+07   1.3509336E+07   5.9476848E-01
    0.3130   4.9609750E+07   1.3499771E+07   5.9482399E-01
    0.3140   4.9591808E+07   1.3490213E+07   5.9487950E-01
    0.3150   4.9573857E+07   1.3480664E+07   5.9493502E-01
    0.3160   4.9555899E+07   1.3471123E+07   5.9499053E-01
    0.3170   4.9537934E+07   1.3461591E+07   5.9504605E-01
    0.3180   4.9519962E+07   1.3452068E+07   5.9510156E-01
    0.3190   4.9501984E+07   1.3442554E+07   5.9515707E-01
    0.3200   4.9484002E+07   1.3433049E+07   5.9521259E-01
    0.3210   4.9466016E+07   1.3423554E+07   5.9526810E-01
    0.3220   4.9448026E+07   1.3414068E+07   5.9532362E-01
    0.3230   4.9430033E+07   1.3404591E+07   5.9537913E-01
    0.3240   4.9412039E+07   1.3395125E+07   5.9543464E-01
    0.3250   4.9394043E+07   1.3385669E+07   5.9549016E-01
    0.3260   4.9376047E+07   1.3376223E+07   5.9554567E-01
    0.3270   4.9358051E+07   1.3366787E+07   5.9560119E-01
    0.3280   4.9340055E+07   1.3357362E+07   5.9565670E-01
    0.3290   4.9322061E+07   1.3347948E+07   5.9571221E-01
    0.3300   4.9304069E+07   1.3338545E+07   5.9576773E-01
    0.3310   4.9286080E+07   1.3329153E+07   5.9582324E-01
    0.3320   4.9268094E+07   1.3319772E+07   5.9587876E-01
    0.3330   4.9250113E+07   1.3310402E+07   5.9593427E-01
    0.3340   4.9232135E+07   1.3301045E+07   5.9598978E-01
    0.3350   4.9214163E+07   1.3291699E+07   5.9604530E-01
    0.3360   4.9196196E+07   1.3282365E+07   5.9610081E-01
    0.3370   4.9178236E+07   1.3273043E+07   5.9615633E-01
    0.3380   4.9160282E+07   1.3263733E+07   5.9621184E-01
    0.3390   4.9142336E+07   1.3254436E+07   5.9626735E-01
    0.3400   4.9124398E+07   1.3245151E+07   5.9632287E-01
    0.3410   4.9106467E+07   1.3235879E+07   5.9637838E-01
    0.3420   4.9088546E+07   1.3226620E+07   5.9643390E-01
    0.3430   4.9070634E+07   1.3217374E+07   5.9648941E-01
    0.3440   4.9052731E+07   1.3208141E+07   5.9654492E-01
    0.3450   4.9034839E+07   1.3198921E+07   5.9660044E-01
    0.3460   4.9016957E+07   1.3189714E+07   5.9665595E-01
    0.3470   4.8999086E+07   1.3180521E+07   5.9671147E-01
    0.3480   4.8981227E+07   1.3171342E+07   5.9676698E-01
    0.3490   4.8963379E+07   1.3162176E+07   5.9682250E-01
    0.3500   4.8945544E+07   1.3153025E+07   5.9687801E-01
    0.3510   4.8927721E+07   1.3143887E+07   5.9693352E-01
    0.3520   4.8909910E+07   1.3134763E+07   5.9698904E-01
    0.3530   4.8892113E+07   1.3125654E+07   5.9704455E-01
    0.3540   4.8874330E+07   1.3116559E+07   5.9710006E-01
    0.3550   4.8856560E+07   1.3107478E+07   5.9715558E-01
    0.3560   4.8838804E+07   1.3098412E+07   5.9721109E-01
    0.3570   4.8821063E+07   1.3089361E+07   5.9726661E-01
    0.3580   4.8803336E+07   1.3080324E+07   5.9732212E-01
    0.3590   4.8785624E+07   1.3071302E+07   5.9737763E-01
    0.3600   4.8767927E+07   1.3062295E+07   5.9743315E-01
    0.3610   4.8750245E+07   1.3053303E+07   5.9748866E-01
    0.3620   4.8732579E+07   1.3044326E+07   5.9754418E-01
    0.3630   4.8714929E+07   1.3035364E+07   5.9759969E-01
    0.3640   4.8697294E+07   1.3026417E+07   5.9765520E-01
    0.3650   4.8679676E+07   1.3017486E+07   5.9771072E-01
    0.3660   4.8662074E+07   1.3008570E+07   5.9776623E-01
    0.3670   4.8644489E+07   1.2999669E+07   5.9782175E-01
    0.3680   4.8626920E+07   1.2990784E+07   5.9787726E-01
    0.3690   4.8609367E+07   1.2981915E+07   5.9793278E-01
    0.3700   4.8591832E+07   1.2973061E+07   5.9798829E-01
    0.3710   4.8574313E+07   1.2964222E+07   5.9804380E-01
    0.3720   4.8556812E+07   1.2955400E+07   5.9809932E-01
    0.3730   4.8539328E+07   1.2946593E+07   5.9815483E-01
    0.3740   4.8521861E+07   1.2937802E+07   5.9821035E-01
    0.3750   4.8504411E+07   1.2929027E+07   5.9826586E-01
    0.3760   4.8486979E+07   1.2920268E+07   5.9832137E-01
    0.3770   4.8469564E+07   1.2911525E+07   5.9837689E-01
    0.3780   4.8452166E+07   1.2902797E+07   5.9843240E-01
    0.3790   4.8434786E+07   1.2894086E+07   5.9848792E-01
    0.3800   4.8417424E+07   1.2885391E+07   5.9854343E-01
    0.3810   4.8400079E+07   1.2876711E+07   5.9859894E-01
    0.3820   4.8382752E+07   1.2868048E+07   5.9865445E-01
    0.3830   4.8365442E+07   1.2859401E+07   5.9870997E-01
    0.3840   4.8348150E+07   1.2850770E+07   5.9876549E-01
    0.3850   4.8330875E+07   1.2842155E+07   5.9882100E-01
    0.3860   4.8313618E+07   1.2833556E+07   5.9887651E-01
    0.3870   4.8296379E+07   1.2824973E+07   5.9893202E-01
    0.3880   4.8279156E+07   1.2816407E+07   5.9898754E-01
    0.3890   4.8261952E+07   1.2807856E+07   5.9904306E-01
    0.3900   4.8244764E+07   1.2799322E+07   5.9909857E-01
    0.3910   4.8227594E+07   1.2790803E+07   5.9915408E-01
