
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 09-Aug-2024 at 15:33:51.

 
 
 
      Time         BODY1RY         BODY1PZ         ROD1SUB
       (s)           (deg)             (m)          (frac)
   27.9000  -5.0752821E+00  -1.7112973E+00   5.4360664E-01
   28.0000  -6.7906666E+00  -1.7351037E+00   5.4947239E-01
   28.1000  -8.3078918E+00  -1.7597096E+00   5.5567437E-01
   28.2000  -9.5859919E+00  -1.7845064E+00   5.6195533E-01
   28.3000  -1.0590787E+01  -1.8088971E+00   5.6804919E-01
   28.4000  -1.1295602E+01  -1.8323474E+00   5.7370830E-01
   28.5000  -1.1681787E+01  -1.8544306E+00   5.7873070E-01
   28.6000  -1.1739042E+01  -1.8748593E+00   5.8298218E-01
   28.7000  -1.1465686E+01  -1.8935044E+00   5.8641213E-01
   28.8000  -1.0869394E+01  -1.9104007E+00   5.8906007E-01
   28.9000  -9.9675665E+00  -1.9257365E+00   5.9104985E-01
   29.0000  -8.7868204E+00  -1.9398206E+00   5.9257156E-01
   29.1000  -7.3621364E+00  -1.9530369E+00   5.9385431E-01
   29.2000  -5.7356963E+00  -1.9657886E+00   5.9513599E-01
   29.3000  -3.9554899E+00  -1.9784418E+00   5.9663320E-01
   29.4000  -2.0737343E+00  -1.9912739E+00   5.9851575E-01
   29.5000  -1.4518371E-01  -2.0044329E+00   6.0088784E-01
   29.6000   1.7746056E+00  -2.0179148E+00   6.0377657E-01
   29.7000   3.6309805E+00  -2.0315595E+00   6.0712916E-01
   29.8000   5.3717957E+00  -2.0450664E+00   6.1081755E-01
   29.9000   6.9488573E+00  -2.0580258E+00   6.1465096E-01
   30.0000   8.3191586E+00  -2.0699630E+00   6.1839515E-01
   30.1000   9.4459171E+00  -2.0803883E+00   6.2179685E-01
   30.2000   1.0299356E+01  -2.0888467E+00   6.2461108E-01
   30.3000   1.0857206E+01  -2.0949621E+00   6.2662923E-01
   30.4000   1.1105047E+01  -2.0984738E+00   6.2770325E-01
   30.5000   1.1036517E+01  -2.0992591E+00   6.2776315E-01
   30.6000   1.0653881E+01  -2.0973470E+00   6.2682706E-01
   30.7000   9.9688177E+00  -2.0929203E+00   6.2500066E-01
   30.8000   9.0021667E+00  -2.0862958E+00   6.2246287E-01
   30.9000   7.7831802E+00  -2.0778897E+00   6.1944199E-01
   31.0000   6.3484936E+00  -2.0681686E+00   6.1618590E-01
   31.1000   4.7408843E+00  -2.0576007E+00   6.1293292E-01
   31.2000   3.0078678E+00  -2.0466025E+00   6.0988516E-01
   31.3000   1.2000947E+00  -2.0354972E+00   6.0718876E-01
   31.4000  -6.3025159E-01  -2.0244851E+00   6.0492152E-01
   31.5000  -2.4310310E+00  -2.0136271E+00   6.0308820E-01
   31.6000  -4.1516528E+00  -2.0028503E+00   6.0162395E-01
   31.7000  -5.7444639E+00  -1.9919654E+00   6.0040385E-01
   31.8000  -7.1659756E+00  -1.9806994E+00   5.9925848E-01
   31.9000  -8.3779087E+00  -1.9687364E+00   5.9799445E-01
   32.0000  -9.3480406E+00  -1.9557618E+00   5.9641683E-01
   32.1000  -1.0050867E+01  -1.9415051E+00   5.9435308E-01
   32.2000  -1.0468087E+01  -1.9257770E+00   5.9167433E-01
   32.3000  -1.0588936E+01  -1.9084977E+00   5.8831215E-01
   32.4000  -1.0410601E+01  -1.8897158E+00   5.8426899E-01
   32.5000  -9.9389467E+00  -1.8696153E+00   5.7962030E-01
   32.6000  -9.1885929E+00  -1.8485072E+00   5.7450706E-01
   32.7000  -8.1823273E+00  -1.8268026E+00   5.6911808E-01
   32.8000  -6.9502392E+00  -1.8049769E+00   5.6366777E-01
   32.9000  -5.5286789E+00  -1.7835249E+00   5.5837208E-01
   33.0000  -3.9590559E+00  -1.7629150E+00   5.5342638E-01
   33.1000  -2.2865286E+00  -1.7435477E+00   5.4898739E-01
   33.2000  -5.5864370E-01  -1.7257203E+00   5.4516047E-01
   33.3000   1.1760602E+00  -1.7096055E+00   5.4199314E-01
   33.4000   2.8694720E+00  -1.6952430E+00   5.3947425E-01
   33.5000   4.4752192E+00  -1.6825470E+00   5.3753853E-01
   33.6000   5.9498744E+00  -1.6713262E+00   5.3607565E-01
   33.7000   7.2540350E+00  -1.6613142E+00   5.3494370E-01
   33.8000   8.3532515E+00  -1.6522082E+00   5.3398484E-01
   33.9000   9.2188034E+00  -1.6437070E+00   5.3304309E-01
   34.0000   9.8283033E+00  -1.6355494E+00   5.3198212E-01
   34.1000   1.0166155E+01  -1.6275464E+00   5.3070128E-01
   34.2000   1.0223851E+01  -1.6196048E+00   5.2914721E-01
   34.3000   1.0000274E+01  -1.6117409E+00   5.2732122E-01
   34.4000   9.5021667E+00  -1.6040852E+00   5.2528012E-01
   34.5000   8.7440872E+00  -1.5968714E+00   5.2312994E-01
   34.6000   7.7479196E+00  -1.5904135E+00   5.2101326E-01
   34.7000   6.5421734E+00  -1.5850730E+00   5.1909244E-01
   34.8000   5.1611004E+00  -1.5812204E+00   5.1753145E-01
   34.9000   3.6436572E+00  -1.5791950E+00   5.1647878E-01
   35.0000   2.0323596E+00  -1.5792680E+00   5.1605242E-01
   35.1000   3.7205413E-01  -1.5816102E+00   5.1632869E-01
   35.2000  -1.2913600E+00  -1.5862736E+00   5.1733530E-01
   35.3000  -2.9121978E+00  -1.5931842E+00   5.1904887E-01
   35.4000  -4.4462328E+00  -1.6021496E+00   5.2139717E-01
   35.5000  -5.8518758E+00  -1.6128777E+00   5.2426535E-01
   35.6000  -7.0912495E+00  -1.6250062E+00   5.2750641E-01
   35.7000  -8.1311359E+00  -1.6381381E+00   5.3095472E-01
   35.8000  -8.9437799E+00  -1.6518787E+00   5.3444213E-01
   35.9000  -9.5075302E+00  -1.6658729E+00   5.3781486E-01
   36.0000  -9.8073149E+00  -1.6798341E+00   5.4094940E-01
   36.1000  -9.8349714E+00  -1.6935681E+00   5.4376566E-01
   36.2000  -9.5895090E+00  -1.7069852E+00   5.4623514E-01
   36.3000  -9.0775976E+00  -1.7201047E+00   5.4838425E-01
   36.4000  -8.3136911E+00  -1.7330451E+00   5.5029011E-01
   36.5000  -7.3196430E+00  -1.7460023E+00   5.5206954E-01
   36.6000  -6.1240530E+00  -1.7592185E+00   5.5386311E-01
   36.7000  -4.7613688E+00  -1.7729439E+00   5.5581671E-01
   36.8000  -3.2708132E+00  -1.7873992E+00   5.5806315E-01
   36.9000  -1.6951731E+00  -1.8027401E+00   5.6070590E-01
   37.0000  -7.9486676E-02  -1.8190300E+00   5.6380635E-01
   37.1000   1.5303205E+00  -1.8362241E+00   5.6737584E-01
   37.2000   3.0888014E+00  -1.8541657E+00   5.7137263E-01
   37.3000   4.5523019E+00  -1.8725966E+00   5.7570457E-01
   37.4000   5.8801813E+00  -1.8911788E+00   5.8023643E-01
   37.5000   7.0358939E+00  -1.9095242E+00   5.8480257E-01
   37.6000   7.9879360E+00  -1.9272304E+00   5.8922255E-01
   37.7000   8.7106218E+00  -1.9439167E+00   5.9331995E-01
