# Time    CON4PX    CON4PY    CON4PZ   CON5PX    CON5PY    CON5PZ   CON6PX    CON6PY    CON6PZ
1.3250000e+00   2.5050000e+01   3.5393000e+01   -1.4588000e+01   -3.6226000e+01   1.1057000e-03   -1.2768000e+01   2.5049000e+01   -3.5393000e+01   -1.4589000e+01
1.3375000e+00   2.5052000e+01   3.5393000e+01   -1.4587000e+01   -3.6224000e+01   1.1136000e-03   -1.2769000e+01   2.5051000e+01   -3.5393000e+01   -1.4588000e+01
1.3500000e+00   2.5054000e+01   3.5393000e+01   -1.4586000e+01   -3.6222000e+01   1.1216000e-03   -1.2771000e+01   2.5053000e+01   -3.5393000e+01   -1.4588000e+01
1.3625000e+00   2.5056000e+01   3.5393000e+01   -1.4585000e+01   -3.6220000e+01   1.1296000e-03   -1.2772000e+01   2.5055000e+01   -3.5393000e+01   -1.4587000e+01
1.3750000e+00   2.5058000e+01   3.5393000e+01   -1.4585000e+01   -3.6218000e+01   1.1377000e-03   -1.2773000e+01   2.5057000e+01   -3.5393000e+01   -1.4586000e+01
1.3875000e+00   2.5060000e+01   3.5393000e+01   -1.4584000e+01   -3.6216000e+01   1.1458000e-03   -1.2775000e+01   2.5059000e+01   -3.5393000e+01   -1.4585000e+01
1.4000000e+00   2.5062000e+01   3.5393000e+01   -1.4583000e+01   -3.6214000e+01   1.1542000e-03   -1.2776000e+01   2.5061000e+01   -3.5393000e+01   -1.4584000e+01
1.4125000e+00   2.5064000e+01   3.5393000e+01   -1.4582000e+01   -3.6212000e+01   1.1626000e-03   -1.2777000e+01   2.5063000e+01   -3.5393000e+01   -1.4584000e+01
1.4250000e+00   2.5066000e+01   3.5393000e+01   -1.4581000e+01   -3.6210000e+01   1.1713000e-03   -1.2778000e+01   2.5065000e+01   -3.5393000e+01   -1.4583000e+01
1.4375000e+00   2.5068000e+01   3.5393000e+01   -1.4580000e+01   -3.6208000e+01   1.1802000e-03   -1.2779000e+01   2.5067000e+01   -3.5393000e+01   -1.4582000e+01
1.4500000e+00   2.5070000e+01   3.5393000e+01   -1.4579000e+01   -3.6206000e+01   1.1893000e-03   -1.2781000e+01   2.5069000e+01   -3.5393000e+01   -1.4582000e+01
1.4625000e+00   2.5072000e+01   3.5393000e+01   -1.4578000e+01   -3.6204000e+01   1.1987000e-03   -1.2782000e+01   2.5071000e+01   -3.5393000e+01   -1.4581000e+01
1.4750000e+00   2.5074000e+01   3.5393000e+01   -1.4577000e+01   -3.6202000e+01   1.2084000e-03   -1.2783000e+01   2.5073000e+01   -3.5393000e+01   -1.4580000e+01
1.4875000e+00   2.5076000e+01   3.5393000e+01   -1.4576000e+01   -3.6200000e+01   1.2183000e-03   -1.2784000e+01   2.5075000e+01   -3.5393000e+01   -1.4579000e+01
