
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 13-Apr-2026 at 09:08:13.

 
 
 
      Time        FAIRTEN1       LINE1NAPX
       (s)             (N)             (m)
    3.5900   4.7967009E+05   1.0140779E+00
    3.6000   4.7888489E+05   1.0140731E+00
    3.6100   4.7809285E+05   1.0140683E+00
    3.6200   4.7729389E+05   1.0140634E+00
    3.6300   4.7648803E+05   1.0140584E+00
    3.6400   4.7567522E+05   1.0140535E+00
    3.6500   4.7485550E+05   1.0140485E+00
    3.6600   4.7402884E+05   1.0140434E+00
    3.6700   4.7319532E+05   1.0140383E+00
    3.6800   4.7235494E+05   1.0140332E+00
    3.6900   4.7150761E+05   1.0140280E+00
    3.7000   4.7065337E+05   1.0140227E+00
    3.7100   4.6979216E+05   1.0140175E+00
    3.7200   4.6892403E+05   1.0140122E+00
    3.7300   4.6804896E+05   1.0140068E+00
    3.7400   4.6716703E+05   1.0140014E+00
    3.7500   4.6627824E+05   1.0139960E+00
    3.7600   4.6538251E+05   1.0139905E+00
    3.7700   4.6447987E+05   1.0139849E+00
    3.7800   4.6357047E+05   1.0139794E+00
    3.7900   4.6265416E+05   1.0139738E+00
    3.8000   4.6173094E+05   1.0139681E+00
    3.8100   4.6080088E+05   1.0139624E+00
    3.8200   4.5986401E+05   1.0139567E+00
    3.8300   4.5892024E+05   1.0139509E+00
    3.8400   4.5796962E+05   1.0139451E+00
    3.8500   4.5701228E+05   1.0139392E+00
    3.8600   4.5604812E+05   1.0139333E+00
    3.8700   4.5507713E+05   1.0139274E+00
    3.8800   4.5409939E+05   1.0139214E+00
    3.8900   4.5311492E+05   1.0139153E+00
    3.9000   4.5212369E+05   1.0139093E+00
    3.9100   4.5112572E+05   1.0139032E+00
    3.9200   4.5012101E+05   1.0138970E+00
    3.9300   4.4910962E+05   1.0138908E+00
    3.9400   4.4809157E+05   1.0138846E+00
    3.9500   4.4706697E+05   1.0138783E+00
    3.9600   4.4603568E+05   1.0138720E+00
    3.9700   4.4499785E+05   1.0138656E+00
    3.9800   4.4395336E+05   1.0138592E+00
    3.9900   4.4290241E+05   1.0138528E+00
    4.0000   4.4184490E+05   1.0138463E+00
    4.0100   4.4078090E+05   1.0138398E+00
    4.0200   4.3971034E+05   1.0138332E+00
    4.0300   4.3863331E+05   1.0138266E+00
    4.0400   4.3754980E+05   1.0138200E+00
    4.0500   4.3645992E+05   1.0138133E+00
    4.0600   4.3536371E+05   1.0138066E+00
    4.0700   4.3426112E+05   1.0137998E+00
    4.0800   4.3315224E+05   1.0137930E+00
    4.0900   4.3203707E+05   1.0137862E+00
    4.1000   4.3091573E+05   1.0137793E+00
    4.1100   4.2978826E+05   1.0137724E+00
    4.1200   4.2865464E+05   1.0137654E+00
    4.1300   4.2751496E+05   1.0137584E+00
    4.1400   4.2636924E+05   1.0137514E+00
    4.1500   4.2521744E+05   1.0137444E+00
    4.1600   4.2405963E+05   1.0137373E+00
    4.1700   4.2289580E+05   1.0137301E+00
    4.1800   4.2172608E+05   1.0137229E+00
    4.1900   4.2055051E+05   1.0137157E+00
    4.2000   4.1936907E+05   1.0137085E+00
    4.2100   4.1818186E+05   1.0137012E+00
    4.2200   4.1698893E+05   1.0136939E+00
    4.2300   4.1579023E+05   1.0136865E+00
    4.2400   4.1458586E+05   1.0136792E+00
    4.2500   4.1337585E+05   1.0136717E+00
    4.2600   4.1216032E+05   1.0136643E+00
    4.2700   4.1093936E+05   1.0136568E+00
    4.2800   4.0971299E+05   1.0136493E+00
    4.2900   4.0848117E+05   1.0136417E+00
    4.3000   4.0724398E+05   1.0136341E+00
    4.3100   4.0600144E+05   1.0136265E+00
    4.3200   4.0475368E+05   1.0136188E+00
    4.3300   4.0350079E+05   1.0136112E+00
    4.3400   4.0224278E+05   1.0136034E+00
    4.3500   4.0097982E+05   1.0135957E+00
    4.3600   3.9971180E+05   1.0135879E+00
    4.3700   3.9843895E+05   1.0135801E+00
    4.3800   3.9716124E+05   1.0135723E+00
    4.3900   3.9587878E+05   1.0135644E+00
