# Time    P2PX    P2PY    P2PZ
  160.1460       1.0138658       0       0
  160.1470       1.0138659       0       0
  160.1480       1.0138660       0       0
  160.1490       1.0138661       0       0
  160.1500       1.0138662       0       0
  160.1510       1.0138663       0       0
  160.1520       1.0138663       0       0
  160.1530       1.0138664       0       0
  160.1540       1.0138665       0       0
  160.1550       1.0138666       0       0
  160.1560       1.0138667       0       0
  160.1570       1.0138668       0       0
  160.1580       1.0138669       0       0
  160.1590       1.0138670       0       0
  160.1600       1.0138670       0       0
  160.1610       1.0138671       0       0
  160.1620       1.0138672       0       0
  160.1630       1.0138673       0       0
  160.1640       1.0138674       0       0
  160.1650       1.0138675       0       0
  160.1660       1.0138675       0       0
  160.1670       1.0138676       0       0
  160.1680       1.0138677       0       0
  160.1690       1.0138678       0       0
  160.1700       1.0138679       0       0
  160.1710       1.0138680       0       0
  160.1720       1.0138680       0       0
  160.1730       1.0138681       0       0
  160.1740       1.0138682       0       0
  160.1750       1.0138683       0       0
  160.1760       1.0138684       0       0
  160.1770       1.0138685       0       0
  160.1780       1.0138685       0       0
  160.1790       1.0138686       0       0
  160.1800       1.0138687       0       0
  160.1810       1.0138688       0       0
  160.1820       1.0138689       0       0
  160.1830       1.0138690       0       0
  160.1840       1.0138690       0       0
  160.1850       1.0138691       0       0
  160.1860       1.0138692       0       0
  160.1870       1.0138693       0       0
  160.1880       1.0138694       0       0
  160.1890       1.0138694       0       0
  160.1900       1.0138695       0       0
  160.1910       1.0138696       0       0
  160.1920       1.0138697       0       0
  160.1930       1.0138698       0       0
  160.1940       1.0138698       0       0
  160.1950       1.0138699       0       0
  160.1960       1.0138700       0       0
  160.1970       1.0138701       0       0
  160.1980       1.0138702       0       0
  160.1990       1.0138702       0       0
  160.2000       1.0138703       0       0
  160.2010       1.0138704       0       0
  160.2020       1.0138705       0       0
  160.2030       1.0138705       0       0
  160.2040       1.0138706       0       0
  160.2050       1.0138707       0       0
  160.2060       1.0138708       0       0
  160.2070       1.0138709       0       0
  160.2080       1.0138709       0       0
  160.2090       1.0138710       0       0
  160.2100       1.0138711       0       0
  160.2110       1.0138712       0       0
  160.2120       1.0138712       0       0
  160.2130       1.0138713       0       0
  160.2140       1.0138714       0       0
