
These predictions were generated by SeaState on 29-Sep-2025 at 15:43:52.




      Time       Wave1Elev       Wave1Elv1       Wave1Elv2       Wave2Elev       Wave2Elv1       Wave2Elv2         FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi          FDynP1         FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi          FDynP2
   (sec)             (m)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)
    5.7500   0.2518495E+00   0.2518495E+00   0.0000000E+00  -0.2817924E+00  -0.2817924E+00   0.0000000E+00  -0.5265346E-01   0.0000000E+00   0.1222194E+00   0.8870102E-01   0.0000000E+00   0.2792311E-01  -0.1327148E+04  -0.1458795E-01   0.0000000E+00   0.3216562E-01  -0.1634200E-02   0.0000000E+00   0.1453927E-01  -0.3982594E+03
    5.8750   0.2707543E+00   0.2707543E+00   0.0000000E+00  -0.2844342E+00  -0.2844342E+00   0.0000000E+00  -0.4141200E-01   0.0000000E+00   0.1251052E+00   0.9096563E-01   0.0000000E+00   0.1820047E-01  -0.1171425E+04  -0.1461043E-01   0.0000000E+00   0.3408334E-01   0.1313889E-02   0.0000000E+00   0.1605509E-01  -0.3562424E+03
    6.0000   0.2826035E+00   0.2826035E+00   0.0000000E+00  -0.2792073E+00  -0.2792073E+00   0.0000000E+00  -0.2996183E-01   0.0000000E+00   0.1267607E+00   0.9203565E-01   0.0000000E+00   0.8264121E-02  -0.1012830E+04  -0.1425158E-01   0.0000000E+00   0.3615662E-01   0.4451112E-02   0.0000000E+00   0.1702510E-01  -0.3116979E+03
    6.1250   0.2871704E+00   0.2871704E+00   0.0000000E+00  -0.2662221E+00  -0.2662221E+00   0.0000000E+00  -0.1845375E-01   0.0000000E+00   0.1271687E+00   0.9189035E-01   0.0000000E+00  -0.1731624E-02  -0.8529238E+03  -0.1349369E-01   0.0000000E+00   0.3831634E-01   0.7683269E-02   0.0000000E+00   0.1743689E-01  -0.2644743E+03
    6.2500   0.2843964E+00   0.2843964E+00   0.0000000E+00  -0.2458278E+00  -0.2458278E+00   0.0000000E+00  -0.7039933E-02   0.0000000E+00   0.1263317E+00   0.9052908E-01   0.0000000E+00  -0.1163057E-01  -0.6932725E+03  -0.1233070E-01   0.0000000E+00   0.4049271E-01   0.1091720E-01   0.0000000E+00   0.1729369E-01  -0.2145075E+03
    6.3750   0.2743988E+00   0.2743988E+00   0.0000000E+00  -0.2185993E+00  -0.2185993E+00   0.0000000E+00   0.4128662E-02   0.0000000E+00   0.1242716E+00   0.8797149E-01   0.0000000E+00  -0.2127727E-01  -0.5354308E+03  -0.1076805E-01   0.0000000E+00   0.4261737E-01   0.1406341E-01   0.0000000E+00   0.1661378E-01  -0.1618204E+03
    6.5000   0.2574733E+00   0.2574733E+00   0.0000000E+00  -0.1853183E+00  -0.1853183E+00   0.0000000E+00   0.1490474E-01   0.0000000E+00   0.1210293E+00   0.8425745E-01   0.0000000E+00  -0.3051950E-01  -0.3809116E+03  -0.8821999E-02   0.0000000E+00   0.4462512E-01   0.1703839E-01   0.0000000E+00   0.1542941E-01  -0.1065207E+03
    6.6250   0.2340925E+00   0.2340925E+00   0.0000000E+00  -0.1469468E+00  -0.1469468E+00   0.0000000E+00   0.2514729E-01   0.0000000E+00   0.1166647E+00   0.7944646E-01   0.0000000E+00  -0.3921096E-01  -0.2311653E+03  -0.6518747E-02   0.0000000E+00   0.4645555E-01   0.1976682E-01   0.0000000E+00   0.1378540E-01  -0.4879438E+02
    6.7500   0.2048989E+00   0.2048989E+00   0.0000000E+00  -0.1045956E+00  -0.1045956E+00   0.0000000E+00   0.3472391E-01   0.0000000E+00   0.1112553E+00   0.7361695E-01   0.0000000E+00  -0.4721384E-01  -0.8755507E+02  -0.3893292E-02   0.0000000E+00   0.4805463E-01   0.2218349E-01   0.0000000E+00   0.1173734E-01   0.1110026E+02
    6.8750   0.1706935E+00   0.1706935E+00   0.0000000E+00  -0.5948766E-01  -0.5948766E-01   0.0000000E+00   0.4351308E-01   0.0000000E+00   0.1048953E+00   0.6686500E-01   0.0000000E+00  -0.5440104E-01   0.4866214E+02  -0.9881210E-03   0.0000000E+00   0.4937572E-01   0.2423462E-01   0.0000000E+00   0.9349564E-02   0.7284138E+02
    7.0000   0.1324175E+00   0.1324175E+00   0.0000000E+00  -0.1291823E-01  -0.1291823E-01   0.0000000E+00   0.5140639E-01   0.0000000E+00   0.9769377E-01   0.5930306E-01   0.0000000E+00  -0.6065874E-01   0.1763589E+03   0.2148402E-02   0.0000000E+00   0.5038081E-01   0.2587918E-01   0.0000000E+00   0.6692880E-02   0.1360543E+03
    7.1250   0.9113139E-01   0.9113139E-01   0.0000000E+00   0.3378766E-01   0.3378766E-01   0.0000000E+00   0.5831035E-01   0.0000000E+00   0.8977342E-01   0.5105823E-01   0.0000000E+00  -0.6588839E-01   0.2945531E+03   0.5463562E-02   0.0000000E+00   0.5104086E-01   0.2708940E-01   0.0000000E+00   0.3842241E-02   0.2003215E+03
    7.2500   0.4798936E-01   0.4798936E-01   0.0000000E+00   0.7931776E-01   0.7931776E-01   0.0000000E+00   0.6414829E-01   0.0000000E+00   0.8126794E-01   0.4227007E-01   0.0000000E+00  -0.7000861E-01   0.4024243E+03   0.8902054E-02   0.0000000E+00   0.5133646E-01   0.2785116E-01   0.0000000E+00   0.8743050E-03   0.2651959E+03
    7.3750   0.4209277E-02   0.4209277E-02   0.0000000E+00   0.1224150E+00   0.1224150E+00   0.0000000E+00   0.6886148E-01   0.0000000E+00   0.7232012E-01   0.3308849E-01   0.0000000E+00  -0.7295695E-01   0.4993252E+03   0.1240761E-01   0.0000000E+00   0.5125772E-01   0.2816374E-01   0.0000000E+00  -0.2135000E-02   0.3302109E+03
    7.5000  -0.3895847E-01  -0.3895847E-01   0.0000000E+00   0.1619182E+00   0.1619182E+00   0.0000000E+00   0.7241059E-01   0.0000000E+00   0.6307933E-01   0.2367124E-01   0.0000000E+00  -0.7469118E-01   0.5847924E+03   0.1592474E-01   0.0000000E+00   0.5080404E-01   0.2803928E-01   0.0000000E+00  -0.5112735E-02   0.3948942E+03
    7.6250  -0.8026646E-01  -0.8026646E-01   0.0000000E+00   0.1967992E+00   0.1967992E+00   0.0000000E+00   0.7477624E-01   0.0000000E+00   0.5369883E-01   0.1418103E-01   0.0000000E+00  -0.7519031E-01   0.6585534E+03   0.1940020E-01   0.0000000E+00   0.4998367E-01   0.2750173E-01   0.0000000E+00  -0.7991109E-02   0.4587778E+03
    7.7500  -0.1185029E+00  -0.1185029E+00   0.0000000E+00   0.2261948E+00   0.2261948E+00   0.0000000E+00   0.7595968E-01   0.0000000E+00   0.4433318E-01   0.4782840E-02   0.0000000E+00  -0.7445560E-01   0.7205289E+03   0.2278439E-01   0.0000000E+00   0.4881295E-01   0.2658564E-01   0.0000000E+00  -0.1070940E-01   0.5214099E+03
