
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:35:36.

 
 
 
      Time        FAIRTEN1       LINE3NAPZ
       (s)             (N)             (m)
    3.8600   4.3260129E+04  -2.6293752E+02
    3.8700   4.3517682E+04  -2.6293496E+02
    3.8800   4.3736404E+04  -2.6293239E+02
    3.8900   4.3909310E+04  -2.6292981E+02
    3.9000   4.4037039E+04  -2.6292721E+02
    3.9100   4.4125479E+04  -2.6292461E+02
    3.9200   4.4183006E+04  -2.6292199E+02
    3.9300   4.4218212E+04  -2.6291936E+02
    3.9400   4.4238514E+04  -2.6291672E+02
    3.9500   4.4249614E+04  -2.6291406E+02
    3.9600   4.4255552E+04  -2.6291140E+02
    3.9700   4.4259031E+04  -2.6290872E+02
    3.9800   4.4261812E+04  -2.6290604E+02
    3.9900   4.4265058E+04  -2.6290334E+02
    4.0000   4.4269611E+04  -2.6290063E+02
    4.0100   4.4276190E+04  -2.6289791E+02
    4.0200   4.4285539E+04  -2.6289519E+02
    4.0300   4.4298497E+04  -2.6289244E+02
    4.0400   4.4315988E+04  -2.6288969E+02
    4.0500   4.4338910E+04  -2.6288693E+02
    4.0600   4.4367930E+04  -2.6288416E+02
    4.0700   4.4403229E+04  -2.6288137E+02
    4.0800   4.4444247E+04  -2.6287858E+02
    4.0900   4.4489512E+04  -2.6287577E+02
    4.1000   4.4536626E+04  -2.6287295E+02
    4.1100   4.4582430E+04  -2.6287012E+02
    4.1200   4.4623358E+04  -2.6286727E+02
    4.1300   4.4655909E+04  -2.6286442E+02
    4.1400   4.4677152E+04  -2.6286155E+02
    4.1500   4.4685167E+04  -2.6285867E+02
    4.1600   4.4679324E+04  -2.6285578E+02
    4.1700   4.4660376E+04  -2.6285287E+02
    4.1800   4.4630324E+04  -2.6284996E+02
    4.1900   4.4592129E+04  -2.6284703E+02
    4.2000   4.4549298E+04  -2.6284409E+02
    4.2100   4.4505440E+04  -2.6284114E+02
    4.2200   4.4463866E+04  -2.6283817E+02
    4.2300   4.4427264E+04  -2.6283520E+02
    4.2400   4.4397517E+04  -2.6283221E+02
    4.2500   4.4375641E+04  -2.6282921E+02
    4.2600   4.4361843E+04  -2.6282619E+02
    4.2700   4.4355673E+04  -2.6282317E+02
    4.2800   4.4356210E+04  -2.6282014E+02
    4.2900   4.4362269E+04  -2.6281709E+02
    4.3000   4.4372584E+04  -2.6281403E+02
    4.3100   4.4385943E+04  -2.6281096E+02
    4.3200   4.4401281E+04  -2.6280788E+02
    4.3300   4.4417723E+04  -2.6280478E+02
    4.3400   4.4434589E+04  -2.6280168E+02
    4.3500   4.4451377E+04  -2.6279856E+02
    4.3600   4.4467731E+04  -2.6279543E+02
    4.3700   4.4483417E+04  -2.6279228E+02
    4.3800   4.4498292E+04  -2.6278913E+02
    4.3900   4.4512295E+04  -2.6278596E+02
    4.4000   4.4525441E+04  -2.6278278E+02
    4.4100   4.4537823E+04  -2.6277959E+02
    4.4200   4.4549611E+04  -2.6277639E+02
    4.4300   4.4561057E+04  -2.6277317E+02
    4.4400   4.4572485E+04  -2.6276994E+02
    4.4500   4.4584272E+04  -2.6276670E+02
    4.4600   4.4596818E+04  -2.6276345E+02
    4.4700   4.4610511E+04  -2.6276018E+02
    4.4800   4.4625684E+04  -2.6275690E+02
    4.4900   4.4642571E+04  -2.6275361E+02
    4.5000   4.4661279E+04  -2.6275031E+02
    4.5100   4.4681764E+04  -2.6274700E+02
    4.5200   4.4703829E+04  -2.6274367E+02
    4.5300   4.4727136E+04  -2.6274033E+02
    4.5400   4.4751241E+04  -2.6273698E+02
    4.5500   4.4775629E+04  -2.6273362E+02
    4.5600   4.4799769E+04  -2.6273025E+02
    4.5700   4.4823158E+04  -2.6272686E+02
    4.5800   4.4845364E+04  -2.6272346E+02
    4.5900   4.4866056E+04  -2.6272005E+02
    4.6000   4.4885023E+04  -2.6271663E+02
    4.6100   4.4902176E+04  -2.6271320E+02
    4.6200   4.4917540E+04  -2.6270975E+02
    4.6300   4.4931236E+04  -2.6270629E+02
    4.6400   4.4943455E+04  -2.6270282E+02
    4.6500   4.4954435E+04  -2.6269934E+02
    4.6600   4.4964430E+04  -2.6269584E+02
    4.6700   4.4973691E+04  -2.6269234E+02
    4.6800   4.4982451E+04  -2.6268882E+02
    4.6900   4.4990909E+04  -2.6268529E+02
    4.7000   4.4999229E+04  -2.6268174E+02
    4.7100   4.5007533E+04  -2.6267819E+02
    4.7200   4.5015907E+04  -2.6267462E+02
    4.7300   4.5024401E+04  -2.6267104E+02
    4.7400   4.5033037E+04  -2.6266745E+02
    4.7500   4.5041810E+04  -2.6266384E+02
    4.7600   4.5050694E+04  -2.6266023E+02
    4.7700   4.5059650E+04  -2.6265660E+02
    4.7800   4.5068624E+04  -2.6265296E+02
    4.7900   4.5077560E+04  -2.6264931E+02
    4.8000   4.5086399E+04  -2.6264565E+02
    4.8100   4.5095085E+04  -2.6264198E+02
    4.8200   4.5103573E+04  -2.6263829E+02
    4.8300   4.5111830E+04  -2.6263459E+02
    4.8400   4.5119842E+04  -2.6263088E+02
    4.8500   4.5127614E+04  -2.6262716E+02
    4.8600   4.5135171E+04  -2.6262343E+02
    4.8700   4.5142593E+04  -2.6261968E+02
    4.8800   4.5156749E+04  -2.6261592E+02
    4.8900   4.5253782E+04  -2.6261215E+02
    4.9000   4.5501424E+04  -2.6260837E+02
    4.9100   4.5657852E+04  -2.6260458E+02
    4.9200   4.5533536E+04  -2.6260078E+02
    4.9300   4.5293103E+04  -2.6259696E+02
    4.9400   4.5136641E+04  -2.6259314E+02
    4.9500   4.5103555E+04  -2.6258930E+02
    4.9600   4.5141376E+04  -2.6258545E+02
    4.9700   4.5194218E+04  -2.6258160E+02
    4.9800   4.5233212E+04  -2.6257772E+02
    4.9900   4.5253327E+04  -2.6257384E+02
    5.0000   4.5261227E+04  -2.6256995E+02
    5.0100   4.5265189E+04  -2.6256605E+02
    5.0200   4.5270240E+04  -2.6256213E+02
    5.0300   4.5277693E+04  -2.6255820E+02
    5.0400   4.5286805E+04  -2.6255427E+02
    5.0500   4.5296491E+04  -2.6255032E+02
    5.0600   4.5306135E+04  -2.6254636E+02
    5.0700   4.5315623E+04  -2.6254238E+02
    5.0800   4.5325110E+04  -2.6253840E+02
    5.0900   4.5334892E+04  -2.6253441E+02
    5.1000   4.5345445E+04  -2.6253041E+02
    5.1100   4.5357452E+04  -2.6252639E+02
    5.1200   4.5371648E+04  -2.6252236E+02
    5.1300   4.5388389E+04  -2.6251833E+02
    5.1400   4.5407124E+04  -2.6251428E+02
    5.1500   4.5426119E+04  -2.6251022E+02
    5.1600   4.5442752E+04  -2.6250615E+02
    5.1700   4.5454391E+04  -2.6250207E+02
    5.1800   4.5459437E+04  -2.6249798E+02
    5.1900   4.5458004E+04  -2.6249388E+02
    5.2000   4.5451881E+04  -2.6248977E+02
    5.2100   4.5443852E+04  -2.6248565E+02
    5.2200   4.5436780E+04  -2.6248151E+02
    5.2300   4.5432886E+04  -2.6247737E+02
    5.2400   4.5433434E+04  -2.6247322E+02
    5.2500   4.5438773E+04  -2.6246905E+02
    5.2600   4.5448563E+04  -2.6246488E+02
    5.2700   4.5462007E+04  -2.6246069E+02
    5.2800   4.5478017E+04  -2.6245650E+02
    5.2900   4.5495354E+04  -2.6245229E+02
    5.3000   4.5512780E+04  -2.6244808E+02
    5.3100   4.5529229E+04  -2.6244385E+02
    5.3200   4.5543969E+04  -2.6243962E+02
    5.3300   4.5556692E+04  -2.6243537E+02
    5.3400   4.5567501E+04  -2.6243112E+02
    5.3500   4.5576797E+04  -2.6242685E+02
    5.3600   4.5585112E+04  -2.6242257E+02
    5.3700   4.5592957E+04  -2.6241829E+02
    5.3800   4.5600710E+04  -2.6241399E+02
    5.3900   4.5608580E+04  -2.6240969E+02
    5.4000   4.5616629E+04  -2.6240537E+02
    5.4100   4.5624819E+04  -2.6240105E+02
