
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:33:13.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3         BODY1RY         BODY1PZ
       (s)             (N)             (N)             (N)           (deg)             (m)
   16.0000   1.6775672E+03   1.1288331E+03   1.1288331E+03  -4.1231446E+00  -1.0267984E+01
   16.1000   1.9769038E+03   1.3060894E+03   1.3060894E+03  -4.1796106E+00  -1.0188526E+01
   16.2000   2.3763358E+03   1.5262063E+03   1.5262063E+03  -4.2360257E+00  -1.0091080E+01
   16.3000   2.8859852E+03   1.7934357E+03   1.7934357E+03  -4.2924216E+00  -9.9769937E+00
   16.4000   5.4605217E+03   2.1095935E+03   2.1095935E+03  -4.3488377E+00  -9.8478109E+00
   16.5000   7.8441992E+03   2.4728967E+03   2.4728967E+03  -4.4053215E+00  -9.7052379E+00
   16.6000   1.0181175E+04   2.8782225E+03   2.8782225E+03  -4.4619260E+00  -9.5510990E+00
   16.7000   1.3412185E+04   3.3147052E+03   3.3147052E+03  -4.5187080E+00  -9.3872920E+00
   16.8000   1.7410683E+04   3.7674096E+03   3.7674096E+03  -4.5757273E+00  -9.2157535E+00
   16.9000   2.2196135E+04   4.2171034E+03   4.2171034E+03  -4.6330440E+00  -9.0384230E+00
   17.0000   2.7424069E+04   4.6410394E+03   4.6410394E+03  -4.6907173E+00  -8.8572155E+00
   17.1000   3.2562238E+04   5.0163272E+03   5.0163272E+03  -4.7488027E+00  -8.6739998E+00
   17.2000   3.7176054E+04   5.3217510E+03   5.3217510E+03  -4.8073530E+00  -8.4905831E+00
   17.3000   4.1096875E+04   5.5393426E+03   5.5393426E+03  -4.8664153E+00  -8.3087057E+00
   17.4000   4.4337577E+04   5.6562920E+03   5.6562920E+03  -4.9260267E+00  -8.1300417E+00
   17.5000   4.6892458E+04   5.6651883E+03   5.6651883E+03  -4.9862138E+00  -7.9562065E+00
   17.6000   4.8718725E+04   5.5645405E+03   5.5645405E+03  -5.0469912E+00  -7.7887657E+00
   17.7000   4.9766633E+04   5.3587071E+03   5.3587071E+03  -5.1083605E+00  -7.6292383E+00
   17.8000   4.9988195E+04   5.0572856E+03   5.0572856E+03  -5.1703105E+00  -7.4790928E+00
   17.9000   4.9379480E+04   5.0812508E+03   5.0812508E+03  -5.2328174E+00  -7.3397348E+00
   18.0000   4.7959959E+04   4.5125133E+03   4.5125133E+03  -5.2958459E+00  -7.2124887E+00
   18.1000   4.5779052E+04   3.9663855E+03   3.9663855E+03  -5.3593508E+00  -7.0985680E+00
   18.2000   4.2906275E+04   3.3954104E+03   3.3954104E+03  -5.4232791E+00  -6.9990504E+00
   18.3000   3.9443599E+04   2.8460037E+03   2.8460037E+03  -5.4875725E+00  -6.9148551E+00
   18.4000   3.5514927E+04   2.3068682E+03   2.3068682E+03  -5.5521705E+00  -6.8467257E+00
   18.5000   3.1249236E+04   3.7087848E+03   3.7087848E+03  -5.6170120E+00  -6.7952227E+00
   18.6000   2.6769492E+04   2.4437442E+03   2.4437442E+03  -5.6820394E+00  -6.7607334E+00
