
These predictions were generated by SeaState on 20-Dec-2023 at 15:17:55.




      Time       Wave1Elev       Wave2Elev       Wave3Elev         FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi          FDynP1         FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi          FDynP2         FVel3xi         FVel3yi         FVel3zi         FAcc3xi         FAcc3yi         FAcc3zi          FDynP3
   (sec)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)
    4.2000  -0.4074299E-01   0.1519087E+00   0.1582409E+00   0.8264482E-02   0.3895529E-01   0.1693701E+00  -0.3989720E-01  -0.2366460E+00   0.1044432E+00  -0.1541557E+03  -0.3116734E+00   0.4818071E-01  -0.3704710E+00  -0.7057405E-01   0.4511643E-01   0.3926428E+00   0.1552972E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    4.3000  -0.1658859E-01   0.1169918E+00   0.1651225E+00   0.4421662E-02   0.1457668E-01   0.1778746E+00  -0.3697066E-01  -0.2498591E+00   0.6552852E-01   0.2069226E+02  -0.3236779E+00   0.4280862E-01  -0.3442804E+00  -0.1307630E+00  -0.1263184E+00   0.9757910E-01   0.1196241E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    4.4000   0.7932534E-02   0.8305366E-01   0.1539845E+00   0.8576913E-03  -0.1079708E-01   0.1824688E+00  -0.3441927E-01  -0.2564955E+00   0.2639846E-01   0.2021256E+03  -0.3299207E+00   0.2900383E-01  -0.3544223E+00   0.4163818E-01  -0.1174702E+00  -0.3005016E+00   0.8484430E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    4.5000   0.3452854E-01   0.4625432E-01   0.1259546E+00  -0.2492038E-02  -0.3649569E-01   0.1831772E+00  -0.3275672E-01  -0.2563368E+00  -0.1205039E-01   0.3862181E+03  -0.3101395E+00   0.2540954E-01  -0.4011392E+00   0.3675328E+00   0.7183357E-01  -0.6034702E+00   0.4712623E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    4.6000   0.6376968E-01   0.3651196E-02   0.8530782E-01  -0.5734243E-02  -0.6183756E-01   0.1801054E+00  -0.3230439E-01  -0.2493782E+00  -0.4910475E-01   0.5691110E+03  -0.2566057E+00   0.4717014E-01  -0.4671842E+00   0.6879479E+00   0.3736650E+00  -0.6724403E+00   0.3543260E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    4.7000   0.9477479E-01  -0.4545537E-01   0.3929741E-01  -0.8996789E-02  -0.8615147E-01   0.1734208E+00  -0.3316077E-01  -0.2358308E+00  -0.8422750E-01   0.7470842E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    4.8000   0.1255098E+00  -0.9924436E-01  -0.3004150E-02  -0.1240594E-01  -0.1087979E+00   0.1633371E+00  -0.3519623E-01  -0.2161154E+00  -0.1170354E+00   0.9166107E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    4.9000   0.1536003E+00  -0.1541310E+00  -0.3261726E-01  -0.1606422E-01  -0.1291892E+00   0.1500998E+00  -0.3807068E-01  -0.1908468E+00  -0.1472653E+00   0.1074394E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    5.0000   0.1773107E+00  -0.2060762E+00  -0.4277537E-01  -0.2003112E-01  -0.1468081E+00   0.1339762E+00  -0.4127247E-01  -0.1608090E+00  -0.1747338E+00   0.1217398E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    5.1000   0.1962424E+00  -0.2518037E+00  -0.3058370E-01  -0.2430874E-01  -0.1612227E+00   0.1152500E+00  -0.4417358E-01  -0.1269228E+00  -0.1992951E+00   0.1342863E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
